valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,valor,clase
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 14, 62, 56, 255, 255, 255, 14, 0
255, 255, 255, 255, 255, 255, 255, 255, 8, 255, 255, 255, 255, 14, 14, 10, 0, 255, 255, 24, 0
255, 255, 255, 255, 255, 255, 255, 255, 8, 255, 255, 255, 255, 15, 15, 11, 180, 109, 255, 90, 0
255, 255, 255, 255, 255, 255, 255, 255, 255, 9, 255, 255, 0, 255, 255, 20, 63, 30, 0, 126, 0
255, 255, 255, 255, 255, 255, 255, 255, 0, 255, 12, 56, 255, 31, 190, 127, 0, 254, 126, 62, 1
255, 255, 255, 255, 255, 255, 255, 255, 255, 8, 255, 255, 0, 32, 46, 0, 255, 18, 0, 32, 0
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 14, 63, 190, 8, 56, 255, 255, 0
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 14, 62, 14, 62, 56, 255, 255, 255, 255,  0
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 14, 62, 14, 62, 60, 255, 30, 0, 255,  0
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 207, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 2, 32, 34, 34, 34, 34, 2, 32, 62, 62, 62, 62,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 207, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 2, 32, 34, 34, 34, 34, 2, 32, 62, 62, 62, 62,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255,  1
255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255,  1
